sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
9_2015_06,2015,,90-94,9,06,15800,16.075
1_2015_06,2015,,95et+,1,06,1030,12.878
2_2015_06,2015,,95et+,2,06,3950,17.871
9_2015_06,2015,,95et+,9,06,4970,16.841
1_2015_06,2015,,tsage,1,06,499400,3.204
2_2015_06,2015,,tsage,2,06,568160,6.682
9_2015_06,2015,,tsage,9,06,1067570,5.055
1_2015_07,2015,,00-04,1,07,8120,0
2_2015_07,2015,,00-04,2,07,7840,0
9_2015_07,2015,,00-04,9,07,15960,0
1_2015_07,2015,,05-09,1,07,9060,0
2_2015_07,2015,,05-09,2,07,8730,0
9_2015_07,2015,,05-09,9,07,17790,0
1_2015_07,2015,,10-14,1,07,9580,0
2_2015_07,2015,,10-14,2,07,9020,0
9_2015_07,2015,,10-14,9,07,18600,0
1_2015_07,2015,,15-19,1,07,8860,0.147
2_2015_07,2015,,15-19,2,07,8730,0.424
9_2015_07,2015,,15-19,9,07,17590,0.284
1_2015_07,2015,,20-24,1,07,7180,0.599
2_2015_07,2015,,20-24,2,07,7300,1
9_2015_07,2015,,20-24,9,07,14480,0.801
1_2015_07,2015,,25-29,1,07,7190,1.294
2_2015_07,2015,,25-29,2,07,7930,1.842
9_2015_07,2015,,25-29,9,07,15110,1.582
1_2015_07,2015,,30-34,1,07,7870,1.602
2_2015_07,2015,,30-34,2,07,8590,3.121
9_2015_07,2015,,30-34,9,07,16450,2.395
1_2015_07,2015,,35-39,1,07,8060,2.568
2_2015_07,2015,,35-39,2,07,9050,4.95
9_2015_07,2015,,35-39,9,07,17110,3.828
1_2015_07,2015,,40-44,1,07,9880,3.027
2_2015_07,2015,,40-44,2,07,10450,6.279
9_2015_07,2015,,40-44,9,07,20330,4.699
1_2015_07,2015,,45-49,1,07,10590,3.804
2_2015_07,2015,,45-49,2,07,10730,7.621
9_2015_07,2015,,45-49,9,07,21330,5.725
1_2015_07,2015,,50-54,1,07,10800,4.103
2_2015_07,2015,,50-54,2,07,11240,8.348
9_2015_07,2015,,50-54,9,07,22030,6.268
1_2015_07,2015,,55-59,1,07,10280,4.836
2_2015_07,2015,,55-59,2,07,10680,9.91
9_2015_07,2015,,55-59,9,07,20950,7.421
1_2015_07,2015,,60-64,1,07,10350,4.368
2_2015_07,2015,,60-64,2,07,10910,8.98
9_2015_07,2015,,60-64,9,07,21260,6.735
1_2015_07,2015,,65-69,1,07,10730,4.565
2_2015_07,2015,,65-69,2,07,11210,9.189
9_2015_07,2015,,65-69,9,07,21940,6.927
1_2015_07,2015,,70-74,1,07,6960,5.386
2_2015_07,2015,,70-74,2,07,7670,10.117
9_2015_07,2015,,70-74,9,07,14630,7.866
